id,slang_term,context_sentence,neutral_expression,neutral_paraphrase,neutral_sentence,neutral_alternatives,category,source_type,source_name,source_url,confidence,review_status,notes
kg0027,JOMO,I'm all about JOMO these days.,Joy Of Missing Out,Joy Of Missing Out.,I'm all about Joy Of Missing Out these days.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:category_quota_full,popularity=Medium
kg0028,Living Rent-Free,She's living rent-free in my mind.,Taking up a lot of mental space,Taking up a lot of mental space.,She's Taking up a lot of mental space in my mind.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=High
kg0029,Normalize,We need to normalize self-care.,Make something the norm,Make something the norm.,We need to Make something the norm self-care.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0030,Resonate,That quote really resonates with me.,Something that deeply connects or makes sense,Something that deeply connects or makes sense.,That quote really resonates with me. Meaning: Something that deeply connects or makes sense.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|explanatory_neutral_expression|neutral_sentence_needs_manual_rewrite|category_quota_full,popularity=Medium
kg0032,Swerve,I had to swerve to avoid the drama.,avoid or move away from something,To avoid or move away from something.,I had to avoid or move away from something to avoid the drama.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=Medium
kg0034,Unbothered,She's completely unbothered by the hate.,Not caring; unaffected,Not caring; unaffected.,She's completely Not caring; unaffected by the hate.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0035,Wavy,That outfit is wavy.,Cool or trendy,Cool or trendy.,That outfit is Cool or trendy.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:category_quota_full,popularity=Medium
kg0036,Whip,Check out my new whip.,Car,Car.,Check out my new Car.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0037,Wildin,He was wildin' at the party.,Acting wild or out of control,Acting wild or out of control.,He was Acting wild or out of control' at the party.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=Medium
kg0038,Wylin,She's wylin out here.,Acting wild or out of control,Acting wild or out of control.,She's Acting wild or out of control out here.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=Medium
kg0039,Zooted,He's zooted right now.,Under the influence,Under the influence.,He's Under the influence right now.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:category_quota_full,popularity=Medium
kg0040,Zoomies,My dog has the zoomies.,"Sudden burst of energy, often used to describe pets","Sudden burst of energy, often used to describe pets.","My dog has the zoomies. Meaning: Sudden burst of energy, often used to describe pets.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|explanatory_neutral_expression|neutral_sentence_needs_manual_rewrite|category_quota_full,popularity=Medium
kg0041,Vibe Check,Let's do a vibe check.,mood check,Evaluating someone's mood or the atmosphere.,Let's do a mood check.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:category_quota_full,popularity=High
kg0042,Spill the Tea,"Come on, spill the tea.",share gossip or the latest news,To share gossip or the latest news.,"Come on, share gossip or the latest news.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=High
kg0044,Bodega,I'm heading to the bodega.,"A small grocery store, typically in an urban area","A small grocery store, typically in an urban area.","I'm heading to the bodega. Meaning: A small grocery store, typically in an urban area.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|neutral_sentence_needs_manual_rewrite|category_quota_full,popularity=Medium
kg0047,Hypebeast,He's such a hypebeast.,"Someone obsessed with fashion, especially streetwear","Someone obsessed with fashion, especially streetwear.","He's such a Someone obsessed with fashion, especially streetwear.",,appearance_style,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long,popularity=High
kg0048,Keep it 100,I'm just keeping it 100 with you.,be honest and truthful,To be honest and truthful.,I'm just keeping it 100 with you. Meaning: be honest and truthful.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_sentence_needs_manual_rewrite|category_quota_full,popularity=High
kg0050,Plug,He's the plug for all the best snacks.,Someone who can supply something needed,Someone who can supply something needed.,He's the Someone who can supply something needed for all the best snacks.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=Medium
kg0051,Slay,You slayed that presentation.,do something exceptionally well,To do something exceptionally well.,You slayed that presentation. Meaning: do something exceptionally well.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:neutral_sentence_needs_manual_rewrite|category_quota_full,popularity=High
kg0052,Sneak Diss,Was that a sneak diss?,A subtle or indirect insult,A subtle or indirect insult.,Was that a A subtle or indirect insult?,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:category_quota_full,popularity=Medium
kg0053,Stay Woke,Stay woke about what's happening.,"Stay aware, especially of social issues","Stay aware, especially of social issues.","Stay aware, especially of social issues about what's happening.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=High
kg0054,Thicc,She's so thicc.,Describing someone with a curvy figure,Describing someone with a curvy figure.,She's so Describing someone with a curvy figure.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=High
kg0055,Vibe,I love the vibe here.,The mood or atmosphere,The mood or atmosphere.,I love the The mood or atmosphere here.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0056,Wild,That party was wild.,Crazy or out of control,Crazy or out of control.,That party was Crazy or out of control.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0057,Woke,"Stay woke, everyone.",politically aware,Being aware of social issues.,"Stay politically aware, everyone.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0058,Big Mood,That nap was a big mood.,A strong feeling or sentiment that others relate to,A strong feeling or sentiment that others relate to.,That nap was a big mood. Meaning: A strong feeling or sentiment that others relate to.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|neutral_sentence_needs_manual_rewrite|category_quota_full,popularity=Medium
kg0059,Clap Back,That clap back was on point.,"A quick, sharp, and witty retort","A quick, sharp, and witty retort.","That A quick, sharp, and witty retort was on point.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=High
kg0060,FOMO,I have FOMO from missing that party.,Fear of Missing Out; anxiety about missing something,Fear of Missing Out; anxiety about missing something.,I have Fear of Missing Out; anxiety about missing something from missing that party.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:manual_review_required|neutral_expression_too_long|category_quota_full,popularity=High
kg0062,Low-Key,I'm low-key worried about the test.,Subtly or secretly,Subtly or secretly.,I'm Subtly or secretly worried about the test.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
kg0064,Yolo,"I'm gonna do it, YOLO!",You Only Live Once; a call to take risks,You Only Live Once; a call to take risks.,"I'm gonna do it, YOLO! Meaning: You Only Live Once; a call to take risks.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|neutral_sentence_needs_manual_rewrite|category_quota_full,popularity=High
kg0065,Bruh,"Come on, bruh, let's go.","A casual term for ""bro"" or ""dude","A casual term for ""bro"" or ""dude.","Come on, A casual term for ""bro"" or ""dude, let's go.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=High
kg0067,Dead,"I'm dead, that was hilarious.",Used to describe something very funny,Used to describe something very funny.,"I'm Used to describe something very funny, that was hilarious.",,intensifier,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|explanatory_neutral_expression,popularity=High
kg0068,Mood,That's such a mood.,An expression of a relatable feeling or vibe,An expression of a relatable feeling or vibe.,That's such a An expression of a relatable feeling or vibe.,,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,medium,rejected:neutral_expression_too_long|category_quota_full,popularity=High
kg0069,Savage,Her clap back was savage.,"Acting fierce, confident, and unfiltered","Acting fierce, confident, and unfiltered.","Her clap back was Acting fierce, confident, and unfiltered.",,other,external_dataset,Kaggle: Gen Z words and Phrases Dataset,https://www.kaggle.com/datasets/tawfiayeasmin/gen-z-words-and-phrases-dataset,high,rejected:category_quota_full,popularity=High
